fineweb2,iso1,openassistant,openai,epfl,aya,aya_human
rus_Cyrl,ru,ru,,Russian,russian,rus
cmn_Hani,zh,,ZH_CN,Chinese,simplified_chinese,
deu_Latn,de,de,DE_DE,German,german,deu
jpn_Jpan,ja,ja,JA_JP,Japanese,japanese,jpn
spa_Latn,es,es,ES_LA,Spanish,spanish,spa
fra_Latn,fr,fr,FR_FR,French,french,fra
ita_Latn,it,it,IT_IT,Italian,italian,ita
por_Latn,pt,pt-BR,PT_BR,Portuguese,portuguese,por
pol_Latn,pl,pl,,Polish,polish,pol
nld_Latn,nl,nl,,Dutch,dutch,nld
ind_Latn,id,id,ID_ID,Indonesian,indonesian,ind
tur_Latn,tr,tr,,Turkish,turkish,tur
ces_Latn,cs,cs,,,czech,czech
vie_Latn,vi,vi,,Vietnamese,vietnamese,vie
swe_Latn,sv,sv,,,swedish,
fas_Arab,fa,fa,,Persian,iranian_persian,pes
arb_Arab,ar,ar,AR_XY,Arabic,standard_arabic,arb
ell_Grek,el,el,,Greek,greek,ell
dan_Latn,da,da,,,danish,dan
hun_Latn,hu,hu,,Hungarian,hungarian,hun